image_id,n_gt_cells,fg_fraction,iou_U-Net (No Aug),iou_U-Net (Geo Aug),iou_U-Net (Full FT)
1609b1b8480ee52652a644403b3f7d5511410a016750aa3b9a4c8ddb3e893e8e,19,0.216217041015625,0.9283735387526184,0.9328373489864173,0.9326209759749541
7b38c9173ebe69b4c6ba7e703c0c27f39305d9b2910f46405993d2ea7a963b80,1,0.00030517578125,0.0,0.0,0.0
5419302571113e9aa74c7c0a9575333ca539b871a16c86ee92b35170b4ddc52e,8,0.0203857421875,0.9350553505535055,0.8942307692307693,0.9176557863501483
da31f2aa8601afec5c45180a2c448cb9c4a8ec7b35e75190d6ba3588f69058c8,62,0.23199345171451569,0.9033181846479487,0.9121991075356671,0.9104020979020979
63d981a107091e1e3059102ce08870744dde173afe324bc2274c17d42f661778,32,0.3033905029296875,0.9275680840898233,0.9371395337566035,0.9343206077507452
94519eb45cbe1573252623b7ea06a8b43c19c930f5c9b685edb639d0db719ab0,61,0.2754669189453125,0.808,0.8273480662983426,0.8370794916521306
b214800de5ed4cc558f44d569495970f93c8c047f8e464c51d4bd5c276118423,64,0.307098388671875,0.827548056976905,0.8573106813663474,0.8438121946806586
3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b,32,0.1441650390625,0.7891577565184769,0.784105439165929,0.827212020033389
fec226e45f49ab81ab71e0eaa1248ba09b56a328338dce93a43f4044eababed5,13,0.0266571044921875,0.9172892209178228,0.9348066298342541,0.9289647577092511
cf26c41245febfe67c2a1682cc4ee8752ee40ae3e49610314f45923b8bf5b08a,40,0.0778045654296875,0.8629017613945887,0.8766355140186916,0.8843080276062477
4185b9369fc8bdcc7e7c68f2129b9a7442237cd0f836a4b6d13ef64bf0ef572a,48,0.095703125,0.9203661327231121,0.9250508527616962,0.9284288127783751
1c2f9e121fc207efff79d46390df1a740566b683ff56a96d8cabe830a398dd2e,12,0.037017822265625,0.8961246504194966,0.8908069048574869,0.9092356687898089
62057502c387145ed4f8f7f0d5e5bedcb72d3bcec15fa71cb0310dee32871461,101,0.1644492745399475,0.8422265858447878,0.8416793120890238,0.8423469387755103
4e92129f4e8066d6f560d6022cd343a2245939aa49d8b06cddbd9bfc7e7eeb0e,46,0.19476318359375,0.8041288663475963,0.8583266114248002,0.8369194242469209
8b12e18670e4b24d03567d1e17c0c24fadf0ea2c1e763983dd6bb4c44b7376a6,7,0.0194854736328125,0.9446969696969697,0.9509803921568627,0.9571865443425076
8f94a80b95a881d0efdec36affc915dca9609f4cba8134c4a91b219d418778aa,75,0.016745949164032936,0.5639445300462249,0.6055118110236221,0.578112609040444
3bfa8b3b01fd24a28477f103063d17368a7398b27331e020f3a0ef59bf68c940,82,0.2530364990234375,0.7602086993558005,0.8085779483456073,0.7944438576106475
8e8a7a14749d0b2e48de3d10e2e80063f17b165ad921c8afc0623f08500f3259,16,0.0358123779296875,0.7358427714856762,0.8324261275272161,0.8351268255188317
af8621ef0db8c26b0bce6385bd5609b584bfd678fcf7a234b8a15e6bb05c15ac,22,0.0790252685546875,0.935557240333586,0.936773947819463,0.9555808656036446
f4b7c24baf69b8752c49d0eb5db4b7b5e1524945d48e54925bff401d5658045d,9,0.0628509521484375,0.8553240740740741,0.8586956521739131,0.8673153471915082
f20eb4592e7d3cf58d421a9c34832d33adcdcbd0e17b7bf009a013847608da27,30,0.0708770751953125,0.9360871352240033,0.9518072289156626,0.9461314475873545
24a20f2a529cede5695df2422a3986505b5826bb10b10781d6db2074cf3de7b3,34,0.0599212646484375,0.7329737019554956,0.7950420540061974,0.8087746510081986
f9ac03b0344ce8c48bc058448541f9211a1e5f4c94fdaf633dd534328d8610ab,20,0.04730224609375,0.9486461251167133,0.9551484523057486,0.9516635279347144
1e61ecf354cb93a62a9561db87a53985fb54e001444f98112ed0fc623fad793e,6,0.0145721435546875,0.8987090367428004,0.9011099899091827,0.903420523138833
6c67b78e8164801059375ed9a607f61e67a7ae347e92e36a7f20514224541d56,111,0.2491607666015625,0.7921502996274902,0.8165017223467658,0.7988914453043297
56d0da5b663ddd49955478c00ca03118c367ff7dd6a646b8c875b0acb207d1c5,24,0.2941131591796875,0.9245949926362298,0.9380270445586547,0.9382814445828145
11a0170f44e3ab4a8d669ae8ea9546d3a32ebfe6486d9066e5648d30b4e1cb69,12,0.026519775390625,0.9044975013881177,0.8993919292426755,0.9105378704720087
1b6044e4858a9b7cee9b0028d8e54fbc8fb72e6c4424ab5b9f3859bfc72b33c5,39,0.0865936279296875,0.9178151260504201,0.9252224503764545,0.925533731853117
4a424e0cb845cf6fd4d9fe62875552c7b89a4e0276cf16ebf46babe4656a794e,53,0.178192138671875,0.7438075476591882,0.7632766861391397,0.7502433326844462
e321cfa987e77c21373a0f8b1236c83d6636306949a82a7f5b07fc0838e7777f,15,0.0447845458984375,0.7583603020496225,0.8727100442198358,0.8702216511403791
8d9b4205ddb10fa49a2973b4f3a2dc6923407ae015081e1a52c4b4c2fe8faa53,33,0.06591796875,0.9272850067537145,0.9322536496350365,0.9401903035795197
6f8197baf738986a1ec3b6ba92b567863d897a739376b7cec5599ad6cecafdfc,20,0.10569480061531067,0.9138189244383934,0.915096915096915,0.9154119901450862
d7ec8003735996458b56ccb8ae34d080eb2a6adabef931323239632515b4b220,7,0.0098419189453125,0.842185128983308,0.8798798798798799,0.8514115898959881
1e488c42eb1a54a3e8412b1f12cde530f950f238d71078f2ede6a85a02168e1f,10,0.1929931640625,0.7783416726233023,0.9064882643145463,0.7829757298628209
942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0,51,0.1683807373046875,0.6406432067117223,0.8552977953274103,0.8597355670526402
2dec81a678ddcac2b110acffe82427d857695180bd841e3f9736a554acf832af,25,0.11410820484161377,0.9099604642265017,0.9164420485175202,0.9079770261646458
d1b173875e2261f55014bd27bd7174b9ae1c769338c1b31b5d737e9e60175993,9,0.0210723876953125,0.9228611500701263,0.94,0.9680170575692963
b1e3aeb0c56261c17eb71c747d116057b8da7e8c8a6845bdc01b2b3ee2299229,22,0.0389404296875,0.8242884250474384,0.825684535287312,0.8817939946788294
10328b822b836e67b547b4144e0b7eb43747c114ce4cacd8b540648892945b00,23,0.0606231689453125,0.9083512802105767,0.9131067961165048,0.9193820902727492
619429303c1af7540916509fe7900cf483eba4391b06aac87ff7f66ca1ab6483,24,0.13702392578125,0.8071744048260261,0.8537570991699432,0.9021727380823694
ecb36c90cdd20245d89173c106f3c6a2d124d07bdea0ae202fb1efa49b0cd169,120,0.22195911407470703,0.8490553703340524,0.8566045091287116,0.8536918869644485
853a4c67900c411abd04467f7bc7813d3c58a5f565c8b0807e13c6e6dea21344,18,0.34521484375,0.8358951541137448,0.8639925297389468,0.9253365973072215
8cdbdda8b3a64c97409c0160bcfb06eb8e876cedc3691aa63ca16dbafae6f948,92,0.14636355638504028,0.7531162042621633,0.775776766277459,0.7683761531594088
