image_id,mean_iou,precision_05,recall_05,f1_05,precision_07,recall_07,f1_07,n_gt_cells,n_pred_cells
0d3640c1f1b80f24e94cc9a5f3e1d9e8db7bf6af7d4aba920265f46cadc25e37,0.4368804218324351,0.6875,0.5238095238095238,0.5945945945945946,0.4375,0.3333333333333333,0.37837837837837834,21,16
0ddd8deaf1696db68b00c600601c6a74a0502caaf274222c8367bdc31458ae7e,0.6169675969670732,0.8571428571428571,0.75,0.7999999999999999,0.5714285714285714,0.5,0.5333333333333333,32,28
0e21d7b3eea8cdbbed60d51d72f4f8c1974c5d76a8a3893a7d5835c85284132e,0.75905485386684,0.9629629629629629,0.896551724137931,0.9285714285714286,0.8518518518518519,0.7931034482758621,0.8214285714285715,29,27
0e4c2e2780de7ec4312f0efcd86b07c3738d21df30bb4643659962b4da5505a3,0.6051387718538433,0.9166666666666666,0.7096774193548387,0.7999999999999999,0.8333333333333334,0.6451612903225806,0.7272727272727272,62,48
0e5edb072788c7b1da8829b02a49ba25668b09f7201cf2b70b111fc3b853d14f,0.3673779838554029,0.24,0.21428571428571427,0.2264150943396226,0.2,0.17857142857142858,0.1886792452830189,28,25
0ea221716cf13710214dcd331a61cea48308c3940df1d28cfc7fd817c83714e1,0.683672299244626,0.9191616766467066,0.8319783197831978,0.8733997155049786,0.718562874251497,0.6504065040650406,0.6827880512091039,369,334
1023509cf8d4c155467800f89508690be9513431992f470594281cd37dbd020d,0.8954004029860462,0.92,1.0,0.9583333333333334,0.88,0.9565217391304348,0.9166666666666666,23,25
10328b822b836e67b547b4144e0b7eb43747c114ce4cacd8b540648892945b00,0.29516104686248534,0.2,0.17391304347826086,0.18604651162790697,0.05,0.043478260869565216,0.046511627906976744,23,20
10ba6cbee4873b32d5626a118a339832ba2b15d8643f66dddcd7cb2ec80fbc28,0.9185805699161028,1.0,0.9701492537313433,0.9848484848484849,1.0,0.9701492537313433,0.9848484848484849,67,65
11a0170f44e3ab4a8d669ae8ea9546d3a32ebfe6486d9066e5648d30b4e1cb69,0.36262832527751226,0.2727272727272727,0.25,0.2608695652173913,0.0,0.0,0.0,12,11
12aeefb1b522b283819b12e4cfaf6b13c1264c0aadac3412b4edd2ace304cb40,0.7201344000752523,0.7248322147651006,0.8709677419354839,0.7912087912087912,0.5503355704697986,0.6612903225806451,0.6007326007326007,124,149
12f89395ad5d21491ab9cec137e247652451d283064773507d7dc362243c5b8e,0.15932607441652744,0.8823529411764706,0.19230769230769232,0.31578947368421056,0.7058823529411765,0.15384615384615385,0.25263157894736843,78,17
136000dc18fa6def2d6c98d4d0b2084d13c22eaffe82e26c665bcaa2a9e51261,0.5386725674438696,0.9565217391304348,0.6470588235294118,0.7719298245614036,0.8260869565217391,0.5588235294117647,0.6666666666666667,34,23
139946af9e2c7ef4f0298e622b831dbef5e5c0cd088eb5bc3382f8df9355443d,0.5127966183350305,0.6,0.6,0.6,0.1,0.1,0.10000000000000002,10,10
13c8ff1f49886e91c98ce795c93648ad8634c782ff57eb928ce29496b0425057,0.5225942010567877,0.7692307692307693,0.5882352941176471,0.6666666666666667,0.5384615384615384,0.4117647058823529,0.4666666666666667,17,13
13f2bec0a24c70345372febb14c4352877b1b6c1b01896246048e83c345c0914,0.4094824044215632,0.4375,0.4117647058823529,0.42424242424242425,0.25,0.23529411764705882,0.24242424242424243,17,16
